Days	ELS	KPX	ZRE	ZTSERG	BRS	ORZEL	ENERGOPLD	STALPROFIL	KROSNO	LZPS	GRAJEWO	BIOTON	GTC	ESPEBEPE	INVESTCON	TVN	MEDIATEL	MASTERS	CERSANIT	HBPOLSKA
-31	14,59	18,75	0,7865	0,87	19,00	0,28	12,79	8,50	11,70	5,70	27,44	6,66	25,50	4,95	4,23	23,10	16,58	0,27	13,10	9,50
-30	14,37	18,75	0,96	0,87	18,25	0,27	12,69	8,67	11,80	5,58	26,75	6,60	25,90	4,98	4,21	23,20	16,78	0,28	13,10	9,64
-29	14,4	18,5	0,98	0,87	18,20	0,27	12,39	8,67	11,65	5,63	26,88	6,22	26,00	4,95	4,34	23,40	16,20	0,28	13,00	9,30
-28	14,23	18,4	0,98	0,87	18,30	0,26	12,67	8,79	11,80	5,80	26,25	7,00	26,50	4,90	3,63	23,60	16,00	0,27	12,60	9,16
-27	14,77	18,35	0,87	0,85	18,50	0,26	12,30	9,02	11,50	5,78	26,25	7,06	26,40	4,90	3,80	23,48	16,22	0,27	12,60	9,17
-26	14,7	18,05	0,86	0,84	18,50	0,27	12,37	9,21	11,30	5,68	26,25	7,24	26,45	4,90	3,97	23,54	15,99	0,27	12,80	8,80
-25	14,7	18,25	0,94	0,85	18,50	0,30	12,47	9,43	11,60	5,68	27,00	7,40	26,00	5,00	4,09	23,96	16,00	0,27	12,70	8,92
-24	14,5	18,05	0,94	0,83	18,40	0,30	12,30	9,68	11,10	5,55	27,13	6,70	26,50	4,98	4,00	23,88	16,00	0,27	12,80	8,92
-23	14,5	18,6	0,9	0,83	18,40	0,31	12,63	9,69	10,45	5,80	27,13	6,48	26,50	4,90	3,85	24,20	15,55	0,27	12,65	9,40
-22	14,21	18,95	0,9	0,80	18,40	0,32	12,27	9,60	10,25	5,60	27,50	6,00	26,90	4,80	3,88	24,12	15,80	0,27	12,70	8,80
-21	14	18,5	0,9	0,79	18,30	0,30	12,30	9,47	10,10	5,87	27,38	5,74	26,80	4,93	3,99	24,12	15,60	0,27	12,60	9,00
-20	13,94	19,5	0,9	0,79	18,30	0,29	12,20	9,05	10,30	5,85	27,38	6,56	26,90	4,93	3,74	24,32	15,58	0,27	12,60	9,00
-19	13,61	18,95	0,889	0,78	18,20	0,29	12,47	9,16	10,70	5,98	27,38	6,22	26,05	4,90	3,55	24,62	15,70	0,27	12,60	8,77
-18	13,74	19,8	0,889	0,78	18,20	0,29	12,80	9,16	10,50	6,03	26,63	5,98	26,00	4,85	3,66	24,40	15,00	0,28	12,55	8,60
-17	13,74	19,8	0,889	0,75	18,15	0,30	13,20	9,20	10,75	6,03	26,50	5,92	25,50	4,80	3,64	24,28	15,64	0,28	12,60	8,60
-16	13,82	20,65	0,889	0,70	17,60	0,29	13,37	9,09	10,80	6,03	27,25	5,92	25,95	4,85	3,57	24,40	16,19	0,28	12,00	8,40
-15	13,7	21	0,889	0,66	17,30	0,29	13,25	8,98	10,80	6,07	27,13	6,16	26,05	4,90	3,60	24,60	15,72	0,28	11,85	8,36
-14	14,4	20,65	0,889	0,70	17,55	0,34	13,50	8,85	10,60	5,98	27,13	6,20	27,15	4,65	3,68	24,40	16,24	0,27	12,20	8,40
-13	14,25	20,9	0,85	0,69	17,50	0,34	13,50	8,74	10,50	6,00	27,38	6,06	28,00	4,85	3,61	24,24	16,00	0,27	12,20	8,20
-12	13,78	20,7	0,85	0,65	17,30	0,33	13,70	8,73	10,70	5,92	25,63	6,10	28,20	4,88	3,65	24,60	16,62	0,29	12,10	7,50
-11	13,9	20	0,847	0,65	16,80	0,33	14,90	8,70	10,70	5,82	27,25	6,32	28,70	4,90	3,65	24,22	16,78	0,28	12,10	7,48
-10	14	20,45	0,847	0,62	16,80	0,37	14,90	8,60	10,80	5,67	27,13	6,40	29,30	4,85	3,65	23,86	17,75	0,31	12,40	7,06
-9	14,3	20,2	0,847	0,63	16,70	0,38	14,80	8,50	10,90	5,73	26,88	5,70	31,00	4,90	3,87	24,00	19,16	0,31	12,50	7,38
-8	14,3	19,9	0,847	0,63	16,50	0,38	14,80	8,69	11,00	5,82	26,50	5,18	30,00	4,90	3,88	24,40	18,80	0,31	12,15	6,80
-7	14,26	19,7	0,847	0,63	16,25	0,38	14,44	8,99	11,00	5,63	26,50	5,06	29,10	4,88	3,80	24,36	18,74	0,31	11,80	6,90
-6	14,3	19,65	0,847	0,61	16,10	0,42	15,19	8,90	11,00	5,58	25,75	5,24	28,95	4,88	3,81	23,30	20,12	0,33	11,90	7,18
-5	14,05	20,4	0,847	0,61	16,00	0,48	15,30	8,86	10,90	5,45	25,69	5,46	28,50	4,90	3,93	22,20	20,36	0,32	12,15	7,76
-4	14,23	20,3	0,847	0,61	16,00	0,46	15,30	8,80	10,50	5,50	25,38	5,40	27,25	4,88	4,78	22,90	19,67	0,35	12,10	7,76
-3	14,2	20,6	0,847	0,60	17,00	0,45	15,00	9,04	10,60	5,42	25,50	5,24	27,85	4,85	4,80	23,20	20,60	0,42	12,10	7,40
-2	14,6	20,8	0,847	0,58	17,90	0,46	15,20	9,06	10,80	5,40	25,75	4,74	27,80	4,85	4,70	24,00	20,40	0,46	12,50	7,71
-1	15	21,9	0,847	0,59	18,70	0,46	15,71	9,05	11,60	5,50	26,00	4,94	28,40	4,88	4,85	24,50	20,04	0,45	12,90	7,80
0	14,97	22	0,88	0,59	19,35	0,41	16,02	9,1	11,65	5,15	26	4,97	30,4	4,9	4,55	24,9	19,9	0,4	13,9	7,89
1	14,9	22,2	0,79	0,58	19,7	0,4	17,02	9	11,6	4,98	27,5	4,92	30	4,9	4,35	25,42	20	0,36	13,9	8,35
2	15	21	0,79	0,56	19,35	0,39	19,5	8,9	11,35	4,72	27,5	2,07	28,3	4,8	4,49	26,2	21,2	0,24	13,4	8,49
3	15	20,6	0,79	0,51	19	0,37	19,49	8,65	11,4	4,45	28	2,05	28,6	4,72	4,69	25,6	22,79	0,3	12,8	8,15
4	15,3	20,8	0,79	0,49	19	0,4	18,95	8	10,45	4,7	27,6	2,07	28,8	4,7	4,78	24,02	22,17	0,3	12,7	8
5	15,55	20,9	0,79	0,48	18,95	0,38	17,9	7,5	10,5	4,8	27,5	2,03	27,4	4,5	4,58	23,6	21,64	0,28	12,8	8,1
6	16	21	0,79	0,49	18,7	0,37	16,71	7,05	10,65	4,6	27,4	1,86	27,1	4,45	4,49	24,15	21,6	0,29	12,3	7,99
7	15,9	21	0,79	0,49	18,8	0,38	16,51	7,05	10,75	4,27	27,2	1,87	27,6	4,5	4,38	24,15	22,29	0,27	12,35	8,19
