date,close
1,407.75
2,75.7
3,261.06
4,396.23
5,74.89
6,256
7,398.99
8,75.41
9,260.15
10,404.62
11,76.38
12,264.14
13,400.01
14,75.48
15,263
16,400.28
17,75.42
18,261.74
19,412.5
20,76.49
21,266.52
22,407.48
23,74.27
24,263.55
25,417
26,76.2
27,258
28,422.86
29,76.7
30,253.85
31,429.43
32,77.03
33,254.83
34,429.02
35,77.01
36,251.68
37,427
38,76.61
39,256.9
40,429
41,78.4
42,26
43,433.27
44,78.7
45,26
46,440.01
47,78.7
48,258.95
49,436
50,77.07
51,261
52,437.71
53,77.7
54,261
55,436.83
56,75.84
57,263.4
58,433.6
59,76.3
60,263
