Days	ELS	KPX	ZRE	ZTSERG	BRS	ORZEL	ENERGOPLD	STALPROFIL	KROSNO	LZPS	GRAJEWO	BIOTON	GTC	ESPEBEPE	INVESTCON	TVN	MEDIATEL	MASTERS	CERSANIT	HBPOLSKA
-31	44176,62	37187,27	39777,48	47709,82	25199,8	60108,17	48958,52	26793,57	26092,87	44063,27	30562,59	45894,55	39552,76	17358,83	51123,31	48900,38	44352,51	43549,11	34281,24	58629,86
-30	44057,54	37449,69	39888,14	47025,2	25078,12	60073,46	48900,38	26974,61	26187,95	44392,66	30548,51	45390,27	40124,08	17334,32	50400,82	48099,01	44870,85	42080,59	34179,37	57736,5
-29	43772,07	37225,96	39903,25	47014,99	24869,27	59447	48099,01	27335,87	26324	45750,76	30698,11	43998,44	39986,18	17499,5	49644,93	48526,8	44659,39	42010,8	33708,53	56871,39
-28	44222,21	37402,61	40411,33	46573,9	24955,99	59960,66	48526,8	27441,93	26303,65	45781,7	30707,94	43995	40644,58	17614,31	47863,64	48300,38	44176,62	41508,16	32700,55	55401,61
-27	44387,9	37980,85	40281,62	46620,03	25128,67	59061,57	48300,38	27425,43	26216,36	45894,89	30697,39	43072,07	40760,21	17602,91	46204,97	48381,06	44057,54	42076,38	32700,71	55130,63
-26	43995,91	39552,76	39799	46582,82	25190,32	60649,86	48381,06	27521,19	26279,48	45121,18	30614,97	42853,98	41132,03	17642,63	46548,84	48977,6	43772,07	42278,45	32709,1	55060,77
-25	44360,14	40124,08	39468,17	46868,52	25267,83	61010,54	48977,6	27574,66	26712,73	44735,66	30917,73	42656,79	40814,39	17695,86	47128,67	49698,12	44222,21	43600,19	33153,19	55309,84
-24	44052,54	39986,18	40149,89	46546,54	25254,9	61406,64	49698,12	27688,28	26744,52	43507,4	31090,63	40384,46	41991,45	17221,26	44509,36	49701,36	44387,9	43418,01	32891,81	55792,46
-23	44209,1	40644,58	40481,8	46624,44	25619,42	60397,88	49701,36	27465,18	26744,36	44003,29	31362,39	40815,61	42875,6	17244,63	45113,17	49566,07	43995,91	43630,03	31792,59	56560,93
-22	44007,66	40760,21	40440,13	46390,78	25735,85	59920,85	49566,07	27827,4	26499,16	43648,7	31364,29	39393,33	43265,63	16829,76	45362,07	49477,9	44360,14	44063,27	31599,89	55648,54
-21	44267,46	41132,03	41389,15	46692,35	25763,58	59197,36	49477,9	27819,48	26793,57	43609,44	31884,02	39841,74	42967,63	16840,66	47258,73	49344,9	44052,54	44392,66	31842,32	55521,39
-20	45008,8	40814,39	41152,32	45908,71	25723,74	58174,13	49344,9	27985,85	26974,61	44519,14	31959,33	40446,42	43549,11	16660	47522,07	50425,36	44209,1	45750,76	31899,11	55497,97
-19	44966,63	41991,45	41263,03	46100,38	25451	58692,07	50425,36	27996,8	27335,87	43758,99	31706,86	40446,26	42080,59	16467,73	46632,21	50230,32	44007,66	45781,7	31271,9	54850,74
-18	45464,58	42875,6	39913,52	45819,4	25489,32	59619,65	50230,32	28041,32	27441,93	42742,67	31867,64	39918,83	42010,8	16764,13	48037,07	50601,74	44267,46	45894,89	31761,22	53718,51
-17	46138,35	43265,63	40654,47	45029,57	24949,89	60416,65	50601,74	28394,28	27425,43	42977,02	31893,73	39632,25	41508,16	16561,88	48451,01	51680,97	45008,8	45121,18	31727,44	53862,62
-16	46340,32	42967,63	40246,8	43782,32	24949,06	60071,34	51680,97	28336,22	27521,19	43402,61	31734,5	39970,99	42076,38	16861,37	47747,81	52370,79	44966,63	44735,66	31870,61	52419,12
-15	46950,76	43549,11	39572,33	42968,11	24736,48	59984,91	52370,79	28071,26	27574,66	42968,6	32084,46	40917,49	42278,45	16447,79	49092,2	52019,87	45464,58	43507,4	32146,66	51123,31
-14	47280,43	42080,59	39038,96	43459,77	24871,48	60579,02	52019,87	27899,23	27688,28	43166,87	32426,52	41234,43	43600,19	16343,54	49429,45	52338,99	46138,35	44003,29	31986,97	50400,82
-13	47393,92	42010,8	39121,03	43623,32	24706,01	62572,56	52338,99	28108,72	27465,18	43194,29	32428,31	40352,53	43418,01	16201,8	47874,99	52166,51	46340,32	43648,7	31549,78	49644,93
-12	46812,97	41508,16	37705,13	43322,93	25050,85	62599,59	52166,51	28089,84	27827,4	43513,69	32468,53	40226,29	43630,03	15873,57	47929,48	52024,79	46950,76	43609,44	31728,5	47863,64
-11	47651	42076,38	36560,96	43559,61	24927,32	62259,23	52024,79	28332,05	27819,48	43516,97	32916,96	39259,1	44063,27	15669,74	47263,33	51747,14	47280,43	44519,14	32024,41	46204,97
-10	47823,87	42278,45	36431,54	42925,3	24982,73	61570,24	51747,14	28620,07	27985,85	42900,39	33256,34	38758,3	44392,66	15678,25	47588,98	51927,09	47393,92	43758,99	32801,74	46548,84
-9	47562,92	43600,19	36578,47	43310,33	25020,16	61032,04	51927,09	28884,29	27996,8	42583,71	33916,85	37425,81	45750,76	15911,97	47942,35	52037,95	46812,97	42742,67	33178,91	47128,67
-8	47432,27	43418,01	38360,99	42987,44	24736,12	61230,87	52037,95	28748,36	28041,32	42384,4	33756,89	36148,34	45781,7	15522,31	49364,33	51961,96	47651	42977,02	33317,63	44509,36
-7	47523,51	43630,03	38277,87	42272,15	24821,66	61030,29	51961,96	28908,94	28394,28	43330	33535,21	36020,66	45894,89	15471,5	49770,4	52242,23	47823,87	43402,61	33084,75	45113,17
-6	47951,5	44063,27	37405,6	42006,23	24949,49	60368,92	52242,23	28564,5	28336,22	43787,24	33440,06	36340,62	45121,18	14997,27	50029,37	50778,15	47562,92	42968,6	32989,06	45362,07
-5	48310,22	44392,66	37486,11	42077,27	24986,95	60287,53	50778,15	28925,62	28071,26	43363,32	33223,87	37160,35	44735,66	15057,99	49309,45	50164,95	47432,27	43166,87	33026,89	47258,73
-4	47761,04	45750,76	38400,15	42117,4	25419,31	61196,53	50164,95	28922	27899,23	43488,03	33482,25	37187,27	43507,4	15296,42	50193,53	50232,37	47523,51	43194,29	33012,91	47522,07
-3	47209,15	45781,7	38460,54	41373,83	25781,86	60946,96	50232,37	29248,18	28108,72	44770,05	33761,72	37449,69	44003,29	15453,89	50149,68	49730,58	47951,5	43513,69	33131,51	46632,21
-2	47358,12	45894,89	36854,78	41146,26	25572,8	61048,09	49730,58	29480,61	28089,84	45033,33	33384,68	37225,96	43648,7	15427,13	49837,48	50740,19	48310,22	43516,97	33079,31	48037,07
-1	47361,53	45121,18	37367,33	40489,39	25503,64	61554,11	50740,19	29516,37	28332,05	44716,62	33418,46	37402,61	43609,44	15294,98	49721,81	50477,49	47761,04	42900,39	33001,54	48451,01
0	47833,42	44735,66	37783,08	40419,99	25327,69	61752,98	50477,49	29430,52	28620,07	44301,11	33801,17	37980,85	44519,14	14897,05	49320,22	50411,82	47209,15	42583,71	33590,18	47747,81
1	48767,01	43507,4	37179,65	40101,76	25160,94	63068,13	50411,82	29238,99	28884,29	44071,87	34281,24	39552,76	43758,99	14239,27	49413,12	51202,99	47358,12	42384,4	33667,04	49092,2
2	49534,64	44003,29	36830,27	39584,02	25554,52	62967,03	51202,99	29332,47	28748,36	43768,52	34179,37	40124,08	42742,67	14308,4	49038,71	51220,11	47361,53	43330	33405,9	49429,45
3	49437,06	43648,7	34832,29	39471,6	25521,35	64057,16	51220,11	29501,51	28908,94	44289,74	33708,53	39986,18	42977,02	14061,09	48910,13	50381,11	47833,42	43787,24	33119,93	47874,99
4	49555,18	43609,44	34166,86	39429,79	25623,95	63813,86	50381,11	29363,12	28564,5	44795,81	32700,55	40644,58	43402,61	14442,76	48505,48	49560,26	48767,01	43363,32	33275,03	47929,48
5	49032,64	44519,14	33643,42	40003,07	25312,73	64292,3	49560,26	29165,53	28925,62	44429,85	32700,71	40760,21	42968,6	14436,19	47522	49512,92	49534,64	43488,03	33299,94	47263,33
6	48958,52	43758,99	33724,03	39632,83	25205,62	63301,4	49512,92	29377,4	28922	44352,51	32709,1	41132,03	43166,87	14550,29	46556,85	49769,49	49437,06	44770,05	33392,83	47588,98
7	48900,38	42742,67	31041,42	38927,92	25277,89	63618,68	49769,49	29601,54	29248,18	44870,85	33153,19	40814,39	43194,29	14768,53	45807,69	49264,41	49555,18	45033,33	33635,64	47942,35
8	48099,01	42977,02	31554,9	38828,47	25332,93	62552,95	49264,41	29870,06	29480,61	44659,39	32891,81	41991,45	43513,69	14709,61	46772,32	50484,05	49032,64	44716,62	33749,78	49364,33
9	48526,8	43402,61	32757,06	37654,12	25309,54	63132,68	50484,05	30239,88	29516,37	44176,62	31792,59	42875,6	43516,97	14560,22	46335,81	51020,94	48958,52	44301,11	33926,06	49770,4
10	48300,38	42968,6	30997,31	37507,55	25133,17	62626,86	51020,94	30448,31	29430,52	44057,54	31599,89	43265,63	42900,39	14713,26	45792,47	52198,67	48900,38	44071,87	34111,29	50029,37
11	48381,06	43166,87	30047,39	38682,73	24887,11	63836,9	52198,67	30665,36	29238,99	43772,07	31842,32	42967,63	42583,71	14784,12	46397,34	52195,63	48099,01	43768,52	34480,66	49309,45
12	48977,6	43194,29	28624,85	38847,26	24852,84	63436,77	52195,63	31189,89	29332,47	44222,21	31899,11	43549,11	42384,4	14678,4	47345,99	52362,24	48526,8	44289,74	34370,99	50193,53
13	49698,12	43513,69	28670,13	39745,36	25153,18	63604,32	52362,24	30813,37	29501,51	44387,9	31271,9	42080,59	43330	14791,95	47624,22	53853,2	48300,38	44795,81	34147,53	50149,68
14	49701,36	43516,97	29096,61	39799,18	25268,42	63366,34	53853,2	30880,87	29363,12	43995,91	31761,22	42010,8	43787,24	14621,71	46423,82	54048,19	48381,06	44429,85	34481,24	49837,48
15	49566,07	42900,39	27282,25	40702,54	25305,15	63759,55	54048,19	30907,2	29165,53	44360,14	31727,44	41508,16	43363,32	14698,91	46239,44	53574	48977,6	44352,51	34447,54	49721,81
16	49477,9	42583,71	26273,3	40381,78	25424,73	63363,58	53574	31314,81	29377,4	44052,54	31870,61	42076,38	43488,03	14562,77	44933,9	53652,21	49698,12	44870,85	34333,89	49320,22
17	49344,9	42384,4	25291,39	40640,39	25621,27	63126,46	53652,21	31320,17	29601,54	44209,1	32146,66	42278,45	44770,05	14344,66	46332,85	53681,53	49701,36	44659,39	34497,14	49413,12
