data	y	i	l
2000.1	117128.70	22917.50	16323704
2000.2	115679.30	19186.10	16212626
2000.3	118172.00	21775.00	16025540
2000.4	123867.20	20819.80	16072622
2001.1	119004.80	23285.30	15883880
2001.2	116743.50	19472.40	15789858
2001.3	118152.20	21547.10	15632174
2001.4	122634.60	19122.40	15549275
2002.1	117155.10	21396.90	15417295
2002.2	116456.30	18172.90	15328736
2002.3	119759.80	20638.10	15299354
2002.4	124543.60	19221.30	15074141
2003.1	119111.00	21759.60	15065287
2003.2	118592.10	19009.10	14980281
2003.3	121521.40	21119.20	14866519
2003.4	126743.80	20306.40	14791496
2004.1	123898.70	22437.30	14684504
2004.2	121711.50	19619.10	14556288
2004.3	124184.50	21932.60	14535728
2004.4	127646.10	20744.50	14415852
2005.1	124370.60	23783.00	14268996
2005.2	123428.40	20571.20	14187721
2005.3	126001.70	22962.40	14143452
2005.4	130120.30	21030.80	14104899
2006.1	127607.60	24379.40	13995277
2006.2	125032.20	21026.60	13858769
2006.3	127110.40	23346.70	13798264
2006.4	132701.80	22517.30	13701230
2007.1	131193.80	26247.40	13660273
2007.2	127910.30	21596.10	13619787
2007.3	129714.70	23347.10	13456528
2007.4	134867.00	21860.60	13396959
2008.1	132977.90	25905.60	13346029
2008.2	127764.30	21018.90	13316721
2008.3	128903.20	22873.50	13218303
2008.4	128585.50	20186.60	13112306
2009.1	120541.70	22517.10	13036952
2009.2	119339.40	17471.60	13013639
2009.3	121731.70	18955.40	12950101
2009.4	127975.60	17813.20	12857733
2010.1	126451.10	20543.60	12804042
2010.2	124648.80	17620.80	12676082
2010.3	129046.80	19718.10	12635905
2010.4	132217.50	18518.20	12594998
2011.1	126509.30	21552.80	12433166
2011.2	122794.70	17749.20	12242812
2011.3	128399.00	20054.20	12222873
2011.4	132341.60	20296.40	12394890
2012.1	130880.10	22841.70	12360445
2012.2	127126.10	19112.80	12331566
2012.3	128627.10	20753.80	12392252
2012.4	132356.00	19825.10	12265190
2013.1	131527.80	22791.40	12281088
2013.2	128915.80	19281.70	12288380
2013.3	131514.30	21240.20	12247635
2013.4	135404.20	20683.70	12237003
2014.1	134742.00	25283.70	12236404
2014.2	128469.90	19635.10	12191437
2014.3	129674.90	21043.20	12199273
2014.4	134340.60	20110.80	12194412
