date	u	w
2000.01.01	4.6	327960.00
2000.02.01	4.9	306000.00
2000.03.01	5.2	330480.00
2000.04.01	5.1	313200.00
2000.05.01	4.8	308160.00
2000.06.01	4.7	579240.00
2000.07.01	4.5	479880.00
2000.08.01	4.6	334800.00
2000.09.01	4.7	307800.00
2000.10.01	4.6	309600.00
2000.11.01	4.5	322200.00
2000.12.01	4.4	775800.00
2001.01.01	4.7	334440.00
2001.02.01	4.8	303480.00
2001.03.01	5.1	327600.00
2001.04.01	5.1	311760.00
2001.05.01	5.1	307800.00
2001.06.01	5.0	572760.00
2001.07.01	4.9	480960.00
2001.08.01	5.0	330480.00
2001.09.01	5.3	303120.00
2001.10.01	5.2	306360.00
2001.11.01	5.2	320400.00
2001.12.01	5.0	750960.00
2002.01.01	5.2	317880.00
2002.02.01	5.4	298440.00
2002.03.01	5.7	325440.00
2002.04.01	5.6	307080.00
2002.05.01	5.6	299880.00
2002.06.01	5.5	554760.00
2002.07.01	5.2	447120.00
2002.08.01	5.4	317160.00
2002.09.01	5.4	298800.00
2002.10.01	5.4	303120.00
2002.11.01	5.1	316080.00
2002.12.01	5.0	728280.00
2003.01.01	5.4	315720.00
2003.02.01	5.3	298440.00
2003.03.01	5.8	320400.00
2003.04.01	5.8	304200.00
2003.05.01	5.6	301680.00
2003.06.01	5.3	570960.00
2003.07.01	5.1	442800.00
2003.08.01	5.0	310680.00
2003.09.01	5.2	300960.00
2003.10.01	5.1	303120.00
2003.11.01	5.0	316440.00
2003.12.01	4.5	726120.00
2004.01.01	4.9	307080.00
2004.02.01	5.0	298800.00
2004.03.01	5.0	311040.00
2004.04.01	5.0	306000.00
2004.05.01	4.8	299880.00
2004.06.01	4.6	555480.00
2004.07.01	4.8	438120.00
2004.08.01	4.7	311760.00
2004.09.01	4.6	299880.00
2004.10.01	4.7	302760.00
2004.11.01	4.4	324720.00
2004.12.01	4.1	717840.00
2005.01.01	4.5	309960.00
2005.02.01	4.7	300600.00
2005.03.01	4.8	310320.00
2005.04.01	4.7	308880.00
2005.05.01	4.6	302760.00
2005.06.01	4.2	564120.00
2005.07.01	4.3	447840.00
2005.08.01	4.2	309240.00
2005.09.01	4.2	302400.00
2005.10.01	4.5	304920.00
2005.11.01	4.4	326160.00
2005.12.01	4.0	733320.00
2006.01.01	4.5	310680.00
2006.02.01	4.2	304560.00
2006.03.01	4.4	314640.00
2006.04.01	4.3	311400.00
2006.05.01	4.1	307080.00
2006.06.01	4.1	576360.00
2006.07.01	4.0	452160.00
2006.08.01	4.1	309240.00
2006.09.01	4.2	304560.00
2006.10.01	4.2	306720.00
2006.11.01	3.9	327960.00
2006.12.01	3.7	741960.00
2007.01.01	4.0	308160.00
2007.02.01	4.1	302760.00
2007.03.01	4.2	316440.00
2007.04.01	4.0	312840.00
2007.05.01	3.8	307440.00
2007.06.01	3.6	574200.00
2007.07.01	3.5	439920.00
2007.08.01	3.7	310680.00
